Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Browse/jpetstore/actions/Catalog.action-1,19403,66,8,1059,91.75,0.005%,20.95092,91.04,9.62,4449.9
Browse/jpetstore/actions/Catalog.action-2,19402,70,47,1091,103.13,0.005%,20.95208,99.09,10.28,4843.0
Browse/jpetstore/actions/Catalog.action-3,19401,68,17,1084,95.12,0.010%,20.95211,85.16,10.14,4162.1
Login/jpetstore/actions/Account.action-1,14553,67,11,1056,94.84,0.007%,15.71575,68.23,5.88,4445.8
Login/jpetstore/actions/Account.action-2,14552,133,46,1119,133.27,0.027%,15.71670,90.81,21.16,5916.8
Login/jpetstore/actions/Catalog.action-3,14548,66,47,1056,93.16,0.000%,15.71601,84.21,6.94,5487.0
Purchasing/jpetstore/actions/Cart.action-1,4850,74,48,1051,102.05,0.000%,5.23937,26.50,2.58,5178.5
Purchasing/jpetstore/actions/Order.action-2,4850,69,31,1049,97.68,0.021%,5.23956,23.40,2.48,4572.5
Purchasing/jpetstore/actions/Order.action-3,4849,68,47,1013,95.38,0.000%,5.23987,28.82,2.93,5633.0
Purchasing/jpetstore/actions/Order.action-4,4849,67,47,1016,92.64,0.000%,5.23985,25.17,5.72,4919.0
TOTAL,121257,76,8,1119,103.49,0.008%,130.93040,622.28,77.70,4866.9
